,product,unit,kelembaban,tekanan,waktu,suhu,T-Squared,keterangan,D1,D2,D3,D4,Variabel Berpengaruh
305,GAF27,GITAR_AKUSTIK_D-12_FRET,0.07,24.46,21.45,149.27,13.73575752202884,In Control,1.6100511707354617,1.1299638496890392,9.360134420780401,0.7270392406224939,Waktu
306,GAF28,GITAR_AKUSTIK_D-12_FRET,0.066,25.16,20.64,150.26,0.3441785603719501,In Control,0.06614228342673267,0.02123468417226887,0.21374782796900782,0.01013108517074951,Waktu
307,GAF29,GITAR_AKUSTIK_D-12_FRET,0.069,24.53,20.84,149.31,6.195017384557948,In Control,0.16768697603413152,1.0914383205885443,2.408602663076283,1.0750387196474778,Waktu
308,GAF30,GITAR_AKUSTIK_D-12_FRET,0.068,24.8,20.6,149.75,2.1766084989442587,In Control,0.19377925019501863,0.3608346399995739,0.629015609566488,0.20457635857421108,Waktu
309,GAF31,GITAR_AKUSTIK_D-12_FRET,0.069,24.66,19.66,149.53,3.7494117029781355,In Control,0.0001031813062342124,0.4693758262083456,1.1099191573717841,0.19647030570420831,Waktu
310,GAF32,GITAR_AKUSTIK_D-12_FRET,0.062,25.85,20.26,151.26,3.348473835711544,In Control,0.21345186250525794,0.524424818744702,1.435034668102798,0.3826592257604182,Waktu
311,GAF33,GITAR_AKUSTIK_D-12_FRET,0.062,25.75,20.35,151.12,2.381506763933149,In Control,0.42003251577034906,0.24548696985211338,0.9596898593672862,0.1038950059130408,Waktu
312,GAF34,GITAR_AKUSTIK_D-12_FRET,0.069,24.65,19.99,149.51,2.824056900942825,In Control,0.03164694178023986,0.5281934306768283,0.10971124766069451,0.27529611820390354,Tekanan
313,GAF35,GITAR_AKUSTIK_D-12_FRET,0.065,25.31,20.03,150.46,1.1426628085300967,In Control,0.11897451170202311,0.0026529532111141396,1.1413421414058664,0.0016743905566320993,Waktu
314,GAF36,GITAR_AKUSTIK_D-12_FRET,0.067,24.88,19.79,149.91,2.3361860572009503,In Control,0.1558216074987393,0.30025169299351306,1.3566942486972178,0.13521009870801048,Waktu
315,GAF37,GITAR_AKUSTIK_D-12_FRET,0.069,24.55,19.9,149.34,3.838772144405005,In Control,0.027566821725322654,0.893164784064489,0.25188561377111185,0.739178232610632,Tekanan
316,GAF38,GITAR_AKUSTIK_D-12_FRET,0.068,24.85,20.71,149.83,2.366540083673018,In Control,0.42153361252363863,0.24538409659677685,1.0418453190176171,0.0917823304526828,Waktu
317,GAF39,GITAR_AKUSTIK_D-12_FRET,0.061,25.95,20.28,151.43,4.6499348113787935,In Control,0.5133565861281797,0.5975483347973025,1.8191323359522595,0.38588805974504936,Waktu
318,GAF40,GITAR_AKUSTIK_D-12_FRET,0.068,24.83,20.27,149.8,1.406409868551655,In Control,0.0923518516115589,0.264544678442193,0.0043766658669122105,0.09595398072553074,Tekanan
319,GAF41,GITAR_AKUSTIK_D-12_FRET,0.06,26.34,20.77,151.66,5.817419887302125,In Control,0.14330664269958948,2.0763875176030817,0.24921312302836007,0.4748843092946897,Tekanan
320,GAF42,GITAR_AKUSTIK_D-12_FRET,0.061,25.89,20.63,151.33,2.7968841173032595,In Control,0.42345915271742207,0.38244532533276887,0.32564723532861617,0.14015744804883612,Kelembaban
321,GAF43,GITAR_AKUSTIK_D-12_FRET,0.06,26.34,19.71,151.65,13.43144707182719,In Control,1.2066650566119996,2.2586786547851503,7.889708016867457,0.639319203478502,Waktu
322,GAF44,GITAR_AKUSTIK_D-12_FRET,0.063,25.74,20.46,151.1,1.5591859213744041,In Control,0.0030422798912272953,0.4098862113022075,0.32269188866717946,0.3710481409460029,Tekanan
323,GAF45,GITAR_AKUSTIK_D-12_FRET,0.068,24.78,20.93,149.71,3.9793691581634683,In Control,0.3553329811448118,0.4418565871487594,2.3052500296938545,0.330000362605114,Waktu
324,GAF46,GITAR_AKUSTIK_D-12_FRET,0.066,25.07,20.4,150.13,0.3348764475770657,In Control,0.016779786606351266,0.11076118677463928,0.0016425694948514202,0.11277535968146124,Suhu
325,GAF47,GITAR_AKUSTIK_D-12_FRET,0.07,24.5,20.77,149.29,6.627288365714666,In Control,0.7539437303741039,0.8723852426735785,2.472254063798906,0.529852375002692,Waktu
326,GAF48,GITAR_AKUSTIK_D-12_FRET,0.066,25.1,20.59,150.18,0.3686476419293049,In Control,0.006586322637336717,0.07664532344193165,0.13404619239699533,0.06627855028753321,Waktu
327,GAF49,GITAR_AKUSTIK_D-12_FRET,0.069,24.58,20.99,149.37,6.851944597334845,In Control,0.38451562017011387,0.886998311562313,3.4934330235862827,0.8706853176608496,Waktu
328,GAF50,GITAR_AKUSTIK_D-12_FRET,0.065,25.26,19.97,150.41,1.4399630862196808,In Control,0.2331847727568217,0.003206627488568925,1.417034494866753,0.002871271107630635,Waktu
329,GAF51,GITAR_AKUSTIK_D-12_FRET,0.067,24.96,20.43,149.92,0.8378971284689296,In Control,0.010201471235657067,0.16566622709229029,0.05039855884990008,0.1814646981154101,Suhu
330,GAF52,GITAR_AKUSTIK_D-12_FRET,0.065,25.22,19.83,149.85,3.656454188578399,In Control,1.7121712851994593,0.01956100182122622,2.041301166734514,1.3814738732186855,Waktu
331,GAF53,GITAR_AKUSTIK_D-12_FRET,0.067,24.86,21.45,150.86,8.581293187246239,In Control,3.585313996578847,0.47021159692319436,5.50311105884199,1.8479517317125485,Waktu
332,GAF54,GITAR_AKUSTIK_D-12_FRET,0.062,25.75,20.15,150.16,5.882583629529255,In Control,3.9547511527575905,0.2532833120424929,1.7033725105457345,2.5771490758802855,Kelembaban
333,GAF55,GITAR_AKUSTIK_D-12_FRET,0.064,25.57,21.29,149.23,11.215863905730261,In Control,2.016694292390513,0.1434905599137153,2.675294166915366,8.737669653378145,Suhu
334,GAF56,GITAR_AKUSTIK_D-12_FRET,0.066,25.16,20.59,151.21,3.6228783892230685,In Control,2.0116770841825002,0.019308212005644254,0.05952383956598739,3.3765337100086845,Suhu
335,GAG01,GITAR_AKUSTIK_D-14_FRET,0.069,24.67,20.15,149.34,3.1469334564518183,In Control,0.007213504248287705,0.4791885642417397,0.0012921530003877635,0.7922244977437112,Suhu
336,GAG02,GITAR_AKUSTIK_D-14_FRET,0.066,25.07,20.53,150.27,0.27292235218509797,In Control,0.017755103329205546,0.11549171132803049,0.051418389028670575,0.004508122560376526,Tekanan
337,GAG03,GITAR_AKUSTIK_D-14_FRET,0.07,24.49,20.88,149.54,6.985778875039312,In Control,1.5601000165037542,0.9249089283473424,3.1825161251459417,0.05433601694773316,Waktu
338,GAG04,GITAR_AKUSTIK_D-14_FRET,0.067,25.02,20.22,149.34,3.088757440584328,In Control,0.5275852986482157,0.06936161214151149,0.02894304127016012,2.49436842058462,Suhu
339,GAG05,GITAR_AKUSTIK_D-14_FRET,0.062,25.85,20.28,150.36,4.340600662823757,In Control,2.4973891311338026,0.5174796212113248,1.1040360192871472,1.474297539112706,Kelembaban
340,GAG06,GITAR_AKUSTIK_D-14_FRET,0.069,24.56,19.71,151.26,13.100969128574683,In Control,4.529991902501681,0.8170527491127082,1.2943367507452272,9.415352759595256,Suhu
341,GAG07,GITAR_AKUSTIK_D-14_FRET,0.062,25.8,20.05,150.05,7.387718336689615,In Control,4.659737805523115,0.3845388128294589,2.290559416967305,3.299660774349916,Kelembaban
342,GAG08,GITAR_AKUSTIK_D-14_FRET,0.069,24.56,20.45,150.0,3.3413533439225183,In Control,1.0771897396843846,0.9068103220488566,0.3850808762470366,0.1719510222444054,Kelembaban
343,GAG09,GITAR_AKUSTIK_D-14_FRET,0.067,24.9,21.32,151.11,8.876296455553423,In Control,4.618781611137447,0.3456942453786951,4.126192460659959,3.5495986038503338,Kelembaban
344,GAG10,GITAR_AKUSTIK_D-14_FRET,0.061,26.09,20.78,151.56,3.8253526328346896,In Control,0.014692513697149412,1.1158536213986374,0.07957067794559114,0.6798109542601689,Tekanan
345,GAG11,GITAR_AKUSTIK_D-14_FRET,0.063,25.71,20.76,151.05,1.0590952638913915,In Control,0.003737237674851457,0.3087148871941796,0.008740171195118274,0.22118407566278786,Tekanan
346,GAG12,GITAR_AKUSTIK_D-14_FRET,0.066,25.07,20.69,150.12,0.6988374340171188,In Control,0.002642959009954815,0.12236049071612953,0.35143879686407725,0.1536173040802361,Waktu
347,GAG13,GITAR_AKUSTIK_D-14_FRET,0.062,25.83,20.32,151.23,2.919097243610408,In Control,0.2244052580494098,0.45693206686111054,1.1288652930934275,0.3026005191453405,Waktu
348,GAG14,GITAR_AKUSTIK_D-14_FRET,0.064,25.44,19.98,150.63,2.0407652177257174,In Control,0.39073120953521157,0.029344637050446654,1.8866449445472164,0.0027346591167476397,Waktu
349,GAG15,GITAR_AKUSTIK_D-14_FRET,0.062,25.79,20.13,151.19,3.769593801963541,In Control,0.46083028636300805,0.3573183018392587,2.159976934796669,0.24207368375226723,Waktu
350,GAG16,GITAR_AKUSTIK_D-14_FRET,0.062,25.84,19.85,151.25,6.229117335030762,In Control,0.5703144586552646,0.5268007180934537,4.3680205098480736,0.42094518491492305,Waktu
351,GAG17,GITAR_AKUSTIK_D-14_FRET,0.063,25.58,20.13,150.87,2.1623560900271293,In Control,0.4579933297440606,0.0911910926190882,1.5660590594782278,0.03290389798290816,Waktu
352,GAG18,GITAR_AKUSTIK_D-14_FRET,0.065,25.27,20.42,150.43,0.05635579445470619,In Control,0.022632964276736917,0.003667927998790739,0.04506788262855553,0.004677344953159225,Waktu
353,GAG19,GITAR_AKUSTIK_D-14_FRET,0.06,26.33,20.9,151.64,5.498289638830845,In Control,0.10495481808035212,1.9909198897219085,0.04533176008924755,0.3998784568345206,Tekanan
354,GAG20,GITAR_AKUSTIK_D-14_FRET,0.066,25.07,20.31,150.13,0.3892743602118472,In Control,0.03594621851307617,0.1072870522644217,0.05604048212963292,0.10544007030283525,Tekanan
355,GAG21,GITAR_AKUSTIK_D-14_FRET,0.063,25.64,20.6,150.93,0.7841151495458952,In Control,0.060321134243285335,0.1668509893422524,0.05631828180840348,0.06036335392295922,Tekanan
356,GAG22,GITAR_AKUSTIK_D-14_FRET,0.065,25.25,21.45,150.39,4.196010295474456,In Control,0.22332259483944572,0.02739362529110778,4.1571483757827385,0.07668424457306067,Waktu
357,GAG23,GITAR_AKUSTIK_D-14_FRET,0.067,24.89,20.15,149.92,1.0826562408911435,In Control,0.0182047252553581,0.29884596852366774,0.14571059842653433,0.15346658170290306,Tekanan
358,GAG24,GITAR_AKUSTIK_D-14_FRET,0.07,24.51,20.42,149.3,4.742404891295313,In Control,0.428141867203089,0.7942872047950029,0.6522036429668248,0.44135011089091325,Tekanan
359,GAG25,GITAR_AKUSTIK_D-14_FRET,0.068,24.83,20.4,149.8,1.5242229467208717,In Control,0.15260352527542542,0.2724195953757167,0.12218974403612881,0.10614892223163586,Tekanan
360,GAG26,GITAR_AKUSTIK_D-14_FRET,0.067,24.89,20.42,149.91,0.9974474936670177,In Control,0.0010676823364415,0.3163967535532156,0.043276800003275495,0.19838145006069996,Tekanan
361,GAG27,GITAR_AKUSTIK_D-14_FRET,0.067,24.93,20.95,149.95,2.638787475392733,In Control,0.2159385861016827,0.25417736104714983,1.8399195943197226,0.18427379804426725,Waktu
362,GAG28,GITAR_AKUSTIK_D-14_FRET,0.063,25.67,19.68,150.99,5.927338122884968,In Control,0.5822496737825853,0.28022131993252497,5.069770304961214,0.23171053565606847,Waktu
363,GAG29,GITAR_AKUSTIK_D-14_FRET,0.062,25.75,19.7,151.11,7.149732721147556,In Control,1.1977676992536663,0.284539169987843,5.738358615639922,0.14607198899694307,Waktu
364,GAG30,GITAR_AKUSTIK_D-14_FRET,0.062,25.79,19.91,151.18,5.388631000169986,In Control,0.7026250334565356,0.37280897745766417,3.795230424973603,0.24881990146726274,Waktu
